GENE_SYMBOL,logFC,P.Value,FDR,-log10(FDR),significant
KCNA3,0.0435,0.843,0.979306963524396,0.009081157360077469,False
STAC,-0.012,0.843,0.979306963524396,0.009081157360077469,False
CNPY2,-0.0141,0.843,0.979306963524396,0.009081157360077469,False
GZMH,0.0253,0.843,0.979306963524396,0.009081157360077469,False
LOC100507637,-0.127,0.843,0.979306963524396,0.009081157360077469,False
CRB3,0.0209,0.843,0.979306963524396,0.009081157360077469,False
PRB3,0.084245,0.8430630803022624,0.9793286971237491,0.009071519240583355,False
LINC00328,0.04350000000000001,0.8435948650683612,0.979775487871886,0.008873429969648837,False
LOC150622,0.10075,0.8437891657593993,0.979775487871886,0.008873429969648837,False
XLOC_009544,-0.0316,0.844,0.979775487871886,0.008873429969648837,False
GALNT14,0.0536,0.844,0.979775487871886,0.008873429969648837,False
C11orf92,0.0132,0.844,0.979775487871886,0.008873429969648837,False
ARL16,-0.0328,0.844,0.979775487871886,0.008873429969648837,False
EIF2D,-0.0225,0.844,0.979775487871886,0.008873429969648837,False
ZNF434,0.0224,0.844,0.979775487871886,0.008873429969648837,False
AUH,-0.0193,0.844,0.979775487871886,0.008873429969648837,False
PRNT,-0.117,0.844,0.979775487871886,0.008873429969648837,False
TMEM159,0.0367,0.844,0.979775487871886,0.008873429969648837,False
IL17D,-0.0352,0.844,0.979775487871886,0.008873429969648837,False
AHNAK,-0.08846666666666668,0.8440247995518176,0.979775487871886,0.008873429969648837,False
NAA10,0.028985,0.8446668456536557,0.9803918940230248,0.008600288194770102,False
C1orf194,-0.0605,0.8447478746256601,0.9803918940230248,0.008600288194770102,False
LOC100131943,0.0114,0.845,0.9803918940230248,0.008600288194770102,False
RASD1,0.0174,0.845,0.9803918940230248,0.008600288194770102,False
HSF5,-0.0184,0.845,0.9803918940230248,0.008600288194770102,False
PTRHD1,-0.021,0.845,0.9803918940230248,0.008600288194770102,False
SUMO1P3,-0.145,0.845,0.9803918940230248,0.008600288194770102,False
ADORA2B,-0.045,0.845,0.9803918940230248,0.008600288194770102,False
UAP1L1,0.0411,0.845,0.9803918940230248,0.008600288194770102,False
HIST1H4J,-0.0453,0.845,0.9803918940230248,0.008600288194770102,False
C6orf127,0.052,0.8455246556385543,0.9806242319205923,0.008497379232433913,False
LOC442132,-0.024300000000000002,0.8455664223327919,0.9806242319205923,0.008497379232433913,False
CSMD1,0.05563333333333333,0.8455809784306274,0.9806242319205923,0.008497379232433913,False
IRF3,0.04055,0.8457612381097245,0.9806242319205923,0.008497379232433913,False
D21S2088E,0.143,0.846,0.9806242319205923,0.008497379232433913,False
TMEM86B,-0.0337,0.846,0.9806242319205923,0.008497379232433913,False
ERI3,0.028,0.846,0.9806242319205923,0.008497379232433913,False
LOC100507206,-0.0311,0.846,0.9806242319205923,0.008497379232433913,False
HOXA5,-0.0812,0.846,0.9806242319205923,0.008497379232433913,False
PLA2G2C,0.0744,0.846,0.9806242319205923,0.008497379232433913,False
CCDC90B,-0.0142,0.846,0.9806242319205923,0.008497379232433913,False
C12orf44,0.0185,0.846,0.9806242319205923,0.008497379232433913,False
TMPPE,0.0581,0.846,0.9806242319205923,0.008497379232433913,False
ZNF238,-0.0603,0.846,0.9806242319205923,0.008497379232433913,False
SDHAF1,-0.0204,0.846,0.9806242319205923,0.008497379232433913,False
TSEN34,-0.0127,0.846,0.9806242319205923,0.008497379232433913,False
SLC22A12,-0.0492,0.846,0.9806242319205923,0.008497379232433913,False
LAIR2,0.0122,0.846,0.9806242319205923,0.008497379232433913,False
APBA1,0.0695,0.8461628965466828,0.9807615423632935,0.00843657205370132,False
PBX3,0.05625,0.8465389304208614,0.9808305209097579,0.008406028494036273,False
LOC92659,0.0299,0.8465472492430748,0.9808305209097579,0.008406028494036273,False
SKA2,-0.04501,0.8467599745235166,0.9808305209097579,0.008406028494036273,False
ABCE1,-0.0727,0.8468569202414149,0.9808305209097579,0.008406028494036273,False
BTK,0.1105,0.8469199139535443,0.9808305209097579,0.008406028494036273,False
ZKSCAN3,0.0375,0.847,0.9808305209097579,0.008406028494036273,False
MIDN,0.0256,0.847,0.9808305209097579,0.008406028494036273,False
XLOC_005614,0.0117,0.847,0.9808305209097579,0.008406028494036273,False
CRYGA,-0.069,0.847,0.9808305209097579,0.008406028494036273,False
LOC57399,0.0113,0.847,0.9808305209097579,0.008406028494036273,False
KIF24,0.104,0.847,0.9808305209097579,0.008406028494036273,False
PILRB,0.0169,0.847,0.9808305209097579,0.008406028494036273,False
TRIM78P,-0.078,0.847,0.9808305209097579,0.008406028494036273,False
COG1,0.0155,0.847,0.9808305209097579,0.008406028494036273,False
LOC100506866,0.0359,0.847,0.9808305209097579,0.008406028494036273,False
OR52B6,0.0118,0.847,0.9808305209097579,0.008406028494036273,False
B4GALNT3,0.05455,0.8470064168054814,0.9808305209097579,0.008406028494036273,False
RPS4X,-0.02235,0.847060378770363,0.9808305209097579,0.008406028494036273,False
STK31,0.20500000000000002,0.8471426819483636,0.9808305209097579,0.008406028494036273,False
INPPL1,0.031549999999999995,0.847315495693937,0.9808305209097579,0.008406028494036273,False
CSNK2B,0.0501,0.8479290113975929,0.9808305209097579,0.008406028494036273,False
XLOC_006529,0.13499999999999998,0.8479430401158342,0.9808305209097579,0.008406028494036273,False
DTNB,0.0973,0.848,0.9808305209097579,0.008406028494036273,False
WSB2,0.0163,0.848,0.9808305209097579,0.008406028494036273,False
TTC9B,-0.0444,0.848,0.9808305209097579,0.008406028494036273,False
NUP37,-0.0163,0.848,0.9808305209097579,0.008406028494036273,False
CSDC2,-0.0584,0.848,0.9808305209097579,0.008406028494036273,False
MAN1A1,-0.0236,0.848,0.9808305209097579,0.008406028494036273,False
PDCD4,0.021,0.848,0.9808305209097579,0.008406028494036273,False
LOC389023,-0.0716,0.848,0.9808305209097579,0.008406028494036273,False
NFKBIZ,0.0319,0.848,0.9808305209097579,0.008406028494036273,False
TMEM239,-0.0748,0.848,0.9808305209097579,0.008406028494036273,False
FRS3,0.0111,0.848,0.9808305209097579,0.008406028494036273,False
FLJ37798,0.0224,0.848,0.9808305209097579,0.008406028494036273,False
PPIL1,-0.0155,0.848,0.9808305209097579,0.008406028494036273,False
PABPC1L2B,-0.105,0.848,0.9808305209097579,0.008406028494036273,False
TBC1D25,0.0126,0.848,0.9808305209097579,0.008406028494036273,False
LOXL2,0.0347,0.848,0.9808305209097579,0.008406028494036273,False
LOC339822,0.0111,0.848,0.9808305209097579,0.008406028494036273,False
VSIG2,-0.0337,0.848,0.9808305209097579,0.008406028494036273,False
RAB3C,0.010999999999999996,0.848230015985953,0.9810103659494267,0.00832640357739007,False
HFE,0.07365,0.8483999808513514,0.9810103659494267,0.00832640357739007,False
IPCEF1,-0.0815,0.8487677072845266,0.9810103659494267,0.00832640357739007,False
AEN,0.0625,0.8488054786813544,0.9810103659494267,0.00832640357739007,False
LOC100507050,0.104,0.849,0.9810103659494267,0.00832640357739007,False
ZNF790,0.0575,0.849,0.9810103659494267,0.00832640357739007,False
FAU,-0.0185,0.849,0.9810103659494267,0.00832640357739007,False
SMG9,0.0375,0.849,0.9810103659494267,0.00832640357739007,False
C18orf10,0.0255,0.849,0.9810103659494267,0.00832640357739007,False
MYL4,0.0282,0.849,0.9810103659494267,0.00832640357739007,False
IAPP,-0.105,0.849,0.9810103659494267,0.00832640357739007,False
SMN2,0.0475,0.849,0.9810103659494267,0.00832640357739007,False
OLR1,-0.0118,0.849,0.9810103659494267,0.00832640357739007,False
LOC100506247,0.0587,0.849,0.9810103659494267,0.00832640357739007,False
RXFP3,0.0388,0.849,0.9810103659494267,0.00832640357739007,False
IFT52,-0.0221,0.849,0.9810103659494267,0.00832640357739007,False
LOC642781,-0.0382,0.849,0.9810103659494267,0.00832640357739007,False
CLPB,0.0159,0.849,0.9810103659494267,0.00832640357739007,False
OR8B12,-0.0115,0.849,0.9810103659494267,0.00832640357739007,False
NR5A2,-0.036435,0.8490642226552478,0.9810332142301316,0.008316288733528507,False
RAN,-0.01915,0.8493274807671105,0.981286019369256,0.008204388614887224,False
BEST3,-0.24296666666666666,0.8494430431718726,0.9813681640413735,0.008168034805702936,False
LOC100129869,-0.1525,0.8495028236202742,0.981385858158758,0.008160204524928544,False
