GENE_SYMBOL,logFC,P.Value,FDR
KLRB1,0.747,0.01102583,0.7094784079591837
XLOC_012727,1.73,0.01123748,0.7209954101162791
ST3GAL4,0.12605,0.059687023741855603,1.0
ACSM5,-0.3255,0.0027389065412501364,0.4073877030201343
ANKRD30BP2,-0.3886833333333333,0.014217735444339206,0.7984723638473553
SLC27A2,0.369,0.01144452,0.7300346847398843
SLC30A3,0.42,0.01149029,0.7308420478097983
SMPDL3A,0.286,0.01163627,0.7370430214040115
LOC728819,0.752,0.01165457,0.7370430214040115
EXD3,-0.14233333333333334,0.07115884399715727,1.0
LOC727869,-0.375,0.01182953,0.7438448906837607
TWIST1,-0.510495,0.05793795600737995,1.0
KIF20A,0.548,0.01186804,0.7441463376136364
SLC38A11,-0.739,0.01216276,0.7602331011016948
ABHD1,-0.322,0.01219349,0.7602331011016948
CARD14,0.28350000000000003,0.042992316316011255,1.0
HP,-0.277,0.01247246,0.7732574849999999
PAQR3,-0.0539,0.112842717381164,1.0
SLC25A23,0.1955,0.009662919489436109,0.6770485588931566
HRSP12,-0.307,0.01266226,0.7784306821666666
CHMP4C,-0.212,0.01267513,0.7784306821666666
NR2F2,-0.214,0.01269698,0.7784306821666666
FAM134B,-0.255,0.01274707,0.7786017987244334
CA2,0.399,0.01278216,0.7786017987244334
SRRM3,-0.0936,0.22821128506199695,1.0
GPIHBP1,0.421,0.0129355,0.7843390673076924
RORC,-0.348,0.01298179,0.7847518929508197
PARP9,0.214,0.01301342,0.7847518929508197
MAK,1.02,0.01311292,0.7852068437027027
LOC100506816,-1.11,0.01312585,0.7852068437027027
ACOX2,-0.413,0.01314635,0.7852068437027027
SLC22A9,-0.368,0.01316327,0.7852068437027027
TRPM7,0.227,0.01320275,0.7854390707547169
HLA-A,0.1481,0.0563806460758205,1.0
TTC35,-0.199,0.01332563,0.7863881176730273
CSRNP3,-0.47459999999999997,0.11858535727086914,1.0
CHN2,-0.087632,0.11387934086357779,1.0
CIDEB,-0.288,0.01335898,0.7863881176730273
CYP4F12,0.349,0.01337961,0.7863881176730273
BMP15,0.344,0.01339764,0.7863881176730273
